Model,n,MAE,RMSE,MAPE%,Accuracy%
SARIMA,36,63794.43371838724,82878.6437798438,12.232847590234266,87.76715240976573
ETS,36,55570.46668762262,84325.57528802806,10.958755478738318,89.04124452126169
Gradient Boosting,36,77603.01747688669,95337.82478625109,11.819082186209407,88.18091781379059
Ridge,36,78794.23795635434,97387.9606134158,12.719394627139135,87.28060537286086
Random Forest,36,73925.71586653424,99952.44379308111,11.900955511739722,88.09904448826028
LSTM,36,72777.73467960209,101569.88211563653,12.196630465442722,87.80336953455728
Seasonal Naive,36,237195.69444444444,317800.17085806717,38.37252969085797,61.62747030914203
